,Return_20d(%),Industry,Industry_Mean(%),Pure_Alpha(%)
PCG,-6.805237649021123,Utilities,-4.010055050096472,-2.795182598924651
DLR,-0.33708995656166474,Real Estate,2.520137369146247,-2.8572273257079117
CMS,-6.875547848046049,Utilities,-4.010055050096472,-2.8654927979495763
TFC,-3.3709874797764328,Financials,-0.4419704595967222,-2.9290170201797103
JKHY,-3.407742520477486,Financials,-0.4419704595967222,-2.965772060880764
HD,-9.392782015118362,Consumer Discretionary,-6.423873874030917,-2.9689081410874447
FITB,-3.4358028305099486,Financials,-0.4419704595967222,-2.9938323709132266
ICE,-3.4435860302785892,Financials,-0.4419704595967222,-3.0016155706818672
EOG,0.2936402539694738,Energy,3.2996634898349293,-3.0060232358654555
AAPL,13.88027710752091,Information Technology,16.887206417366862,-3.006929309845951
ORCL,13.828216739958776,Information Technology,16.887206417366862,-3.0589896774080856
RSG,-4.5340721855396175,Industrials,-1.4464699020042764,-3.0876022835353414
ZBRA,13.722982368391602,Information Technology,16.887206417366862,-3.16422404897526
C,-3.659709757478935,Financials,-0.4419704595967222,-3.217739297882213
PNC,-3.716094635673295,Financials,-0.4419704595967222,-3.2741241760765725
USB,-3.7261546566272563,Financials,-0.4419704595967222,-3.284184197030534
RF,-3.7297291798634613,Financials,-0.4419704595967222,-3.287758720266739
EXPE,-9.928795593741647,Consumer Discretionary,-6.423873874030917,-3.5049217197107296
LUV,-4.968490839687389,Industrials,-1.4464699020042764,-3.522020937683113
SYY,-2.188144123011726,Consumer Staples,1.3626325749521067,-3.5507766979638324
SW,-4.314486191067224,Materials,-0.75091411325385,-3.5635720778133737
JPM,-4.08520831248933,Financials,-0.4419704595967222,-3.643237852892608
SATS,-4.184869344207732,Communication Services,-0.5371745239801173,-3.6476948202276143
EXE,-0.3814457977337482,Energy,3.2996634898349293,-3.6811092875686775
KIM,-1.1652526020558773,Real Estate,2.520137369146247,-3.6853899712021243
APA,-0.4860490099764081,Energy,3.2996634898349293,-3.7857124998113374
RL,-10.292229128267428,Consumer Discretionary,-6.423873874030917,-3.8683552542365103
UHS,-6.474305565747185,Health Care,-2.594343498529162,-3.8799620672180235
EMR,-5.35071993703955,Industrials,-1.4464699020042764,-3.9042500350352736
CVX,-0.6362968742491204,Energy,3.2996634898349293,-3.9359603640840497
CME,-4.396861465934876,Financials,-0.4419704595967222,-3.954891006338154
AXP,-4.439376226511071,Financials,-0.4419704595967222,-3.9974057669143495
HIG,-4.47142872379811,Financials,-0.4419704595967222,-4.029458264201388
GRMN,-10.507413562667479,Consumer Discretionary,-6.423873874030917,-4.083539688636561
JNJ,-6.732614799665004,Health Care,-2.594343498529162,-4.138271301135843
CTAS,-5.629041285619252,Industrials,-1.4464699020042764,-4.182571383614976
APP,12.691745928408471,Information Technology,16.887206417366862,-4.195460488958391
MRK,-6.8106020601019,Health Care,-2.594343498529162,-4.216258561572738
EXC,-8.230581752310117,Utilities,-4.010055050096472,-4.220526702213645
AMCR,-4.974389622832376,Materials,-0.75091411325385,-4.223475509578527
STE,-6.857313186727787,Health Care,-2.594343498529162,-4.262969688198625
TKO,-4.819057952315287,Communication Services,-0.5371745239801173,-4.28188342833517
UPS,-5.735320770135699,Industrials,-1.4464699020042764,-4.288850868131423
O,-1.8127696660811599,Real Estate,2.520137369146247,-4.332907035227407
CFG,-4.800200381240827,Financials,-0.4419704595967222,-4.358229921644105
